admin1Name_pl,admin1Pcode,admin1RefName,admin1AltName1_pl,admin1AltName2_pl,admin0Name_pl,admin0Pcode,date,validOn,validTo
Dolnośląskie,PL002,,,,Polska,PL,2022-04-19,2022-04-19,
Kujawsko-Pomorskie,PL004,,,,Polska,PL,2022-04-19,2022-04-19,
Lubelskie,PL006,,,,Polska,PL,2022-04-19,2022-04-19,
Lubuskie,PL008,,,,Polska,PL,2022-04-19,2022-04-19,
Łódzkie,PL010,,,,Polska,PL,2022-04-19,2022-04-19,
Małopolskie,PL012,,,,Polska,PL,2022-04-19,2022-04-19,
Mazowieckie,PL014,,,,Polska,PL,2022-04-19,2022-04-19,
Opolskie,PL016,,,,Polska,PL,2022-04-19,2022-04-19,
Podkarpackie,PL018,,,,Polska,PL,2022-04-19,2022-04-19,
Podlaskie,PL020,,,,Polska,PL,2022-04-19,2022-04-19,
Pomorskie,PL022,,,,Polska,PL,2022-04-19,2022-04-19,
Śląskie,PL024,,,,Polska,PL,2022-04-19,2022-04-19,
Świętokrzyskie,PL026,,,,Polska,PL,2022-04-19,2022-04-19,
Warmińsko-Mazurskie,PL028,,,,Polska,PL,2022-04-19,2022-04-19,
Wielkopolskie,PL030,,,,Polska,PL,2022-04-19,2022-04-19,
Zachodniopomorskie,PL032,,,,Polska,PL,2022-04-19,2022-04-19,
