admin1Name_en,admin1Name_mn,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_mn,admin1AltName2_mn,admin0Name_en,admin0Name_mn,admin0Pcode,date,validOn,validTo
Ulaanbaatar,Улаанбаатар,MN11,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Dornod,Дорнод,MN21,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Sukhbaatar,Сүхбаатар,MN22,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Hentii,Хэнтий,MN23,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
To'v,Төв,MN41,Tov,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Govisumber,Говьсүмбэр,MN42,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Selenge,Сэлэнгэ,MN43,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Dornogovi,Дорноговь,MN44,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Darkhan-Uul,Дархан-Уул,MN45,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Omnogovi,Өмнөговь,MN46,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Dundgovi,Дундговь,MN48,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Orkhon,Орхон,MN61,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Ovorkhangai,Өвөрхангай,MN62,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Bulgan,Булган,MN63,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Bayankhongor,Баянхонгор,MN64,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Arxangai,Архангай,MN65,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Khovsgol,Хөвсгөл,MN67,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Zavkhan,Завхан,MN81,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Govi-Altai,Говь-Алтай,MN82,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Bayan-Olgii,Баян-Өлгий,MN83,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Khovd,Ховд,MN84,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
Uvs,Увс,MN85,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
