admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Ryanggang,KP01,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
North Hamgyong,KP02,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
South Hamgyong,KP03,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
Kangwon,KP04,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
Jagang,KP05,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
North Pyongan,KP06,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
South Pyongan,KP07,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
North Hwanghae,KP08,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
South Hwanghae,KP09,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
Pyongyang,KP10,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
Nampo,KP11,,,,Democratic People's Republic of Korea (the),KP,2013-01-01,2019-07-17,
